index,status,video_id,title,url,duration,output_file,transcript_chars,source,note
1,saved,OIxiqW596nw,"How To Conduct A Systematic Review and Write-Up in 7 Steps (Using PRISMA, PICO and AI)",https://www.youtube.com/watch?v=OIxiqW596nw,,"How To Conduct A Systematic Review and Write-Up in 7 Steps (Using PRISMA, PICO and AI).md",19612,NotebookLM YouTube transcript import,
2,saved,7JMllEeikQQ,How to write a literature review FAST | EASY step-by-step guide,https://www.youtube.com/watch?v=7JMllEeikQQ,,How to write a literature review FAST - EASY step-by-step guide.md,15521,NotebookLM YouTube transcript import,
3,saved,8Lzo3nhcTSk,The Research Process From Start to End | First Steps Beginner Guide,https://www.youtube.com/watch?v=8Lzo3nhcTSk,,The Research Process From Start to End - First Steps Beginner Guide.md,14292,NotebookLM YouTube transcript import,
4,saved,mYlSzNyrVO8,How To Write A Research Question/Hypothesis & Template | The Research Process Beginners Guide,https://www.youtube.com/watch?v=mYlSzNyrVO8,,How To Write A Research Question-Hypothesis & Template - The Research Process Beginners Guide.md,14162,NotebookLM YouTube transcript import,
5,saved,o2v94gxeCMY,The Quickest Way To Write A First Class Literature Review | IN JUST 5 EASY STEPS,https://www.youtube.com/watch?v=o2v94gxeCMY,,The Quickest Way To Write A First Class Literature Review - IN JUST 5 EASY STEPS.md,14068,NotebookLM YouTube transcript import,
6,saved,hSnEP2njB6c,How To Write A Successful Research Proposal | EASY 3-STEP WRITING GUIDE,https://www.youtube.com/watch?v=hSnEP2njB6c,,How To Write A Successful Research Proposal - EASY 3-STEP WRITING GUIDE.md,12091,NotebookLM YouTube transcript import,
7,saved,taKld2wDxNQ,How To Write & Structure The Results Chapter | Dissertation Writing Made Easy,https://www.youtube.com/watch?v=taKld2wDxNQ,,How To Write & Structure The Results Chapter - Dissertation Writing Made Easy.md,18717,NotebookLM YouTube transcript import,
8,saved,Mhyduqe91Lg,FIVE Step AI Workflow For Your Literature Review | Write A Literature Review Quickly,https://www.youtube.com/watch?v=Mhyduqe91Lg,,FIVE Step AI Workflow For Your Literature Review - Write A Literature Review Quickly.md,11092,NotebookLM YouTube transcript import,
9,saved,05LJrcgXc3U,Write A First Class Essay or Dissertation Using 6 Step-by-Step Fully Scaffolded Templates,https://www.youtube.com/watch?v=05LJrcgXc3U,,Write A First Class Essay or Dissertation Using 6 Step-by-Step Fully Scaffolded Templates.md,11571,NotebookLM YouTube transcript import,
10,saved,1RBgEsSZW6w,PhD Researcher Essentials | 6 Step-by-Step Fully Scaffolded Academic Templates,https://www.youtube.com/watch?v=1RBgEsSZW6w,,PhD Researcher Essentials - 6 Step-by-Step Fully Scaffolded Academic Templates.md,11479,NotebookLM YouTube transcript import,
