index,status,video_id,title,url,duration,output_file,transcript_chars,source,note
1,saved,0Y6RUjJnFao,I Built a Tool That Tells You If Your Trading Strategy Actually Works,https://www.youtube.com/watch?v=0Y6RUjJnFao,6:45,I Built a Tool That Tells You If Your Trading Strategy Actually Works.md,5172,NotebookLM YouTube transcript import,
2,saved,ic87NID9xH0,"I Tested 350,000 Bitcoin Strategies. 4 Survived.",https://www.youtube.com/watch?v=ic87NID9xH0,15:53,"I Tested 350,000 Bitcoin Strategies. 4 Survived.md",13477,NotebookLM YouTube transcript import,
3,saved,ThH075heC4E,Mean Reversion: The Math Behind the Market Magnet,https://www.youtube.com/watch?v=ThH075heC4E,4:52,Mean Reversion- The Math Behind the Market Magnet.md,4946,NotebookLM YouTube transcript import,
4,saved,Q5MK_Tt28rA,How to learn Applied Finance in Python,https://www.youtube.com/watch?v=Q5MK_Tt28rA,5:38,How to learn Applied Finance in Python.md,4885,NotebookLM YouTube transcript import,
5,saved,XFocx6K4Ers,"I Tested 100,000 Trading Strategies.",https://www.youtube.com/watch?v=XFocx6K4Ers,16:15,"I Tested 100,000 Trading Strategies.md",13267,NotebookLM YouTube transcript import,
6,saved,q_n2_Sita_E,How to learn Python for finance,https://www.youtube.com/watch?v=q_n2_Sita_E,6:25,How to learn Python for finance.md,5069,NotebookLM YouTube transcript import,
7,saved,aplyrUOQMoc,"I Tested This “$10,000/Month” Scalping Strategy",https://www.youtube.com/watch?v=aplyrUOQMoc,10:55,"I Tested This “$10,000-Month” Scalping Strategy.md",8218,NotebookLM YouTube transcript import,
8,saved,qOsjfj5z_58,I Backtested a Pairs Trading Strategy… Does It Actually Work?,https://www.youtube.com/watch?v=qOsjfj5z_58,17:51,I Backtested a Pairs Trading Strategy... Does It Actually Work-.md,13031,NotebookLM YouTube transcript import,
9,saved,H3f-S3TjswQ,Is Quant Finance Worth Learning?,https://www.youtube.com/watch?v=H3f-S3TjswQ,2:43,Is Quant Finance Worth Learning-.md,2387,NotebookLM YouTube transcript import,
10,saved,qNRIxQP3ngI,I’ll Put $1 Into an AI Trading Bot For Every View This Gets,https://www.youtube.com/watch?v=qNRIxQP3ngI,2:55,I’ll Put $1 Into an AI Trading Bot For Every View This Gets.md,1145,NotebookLM YouTube transcript import,
11,saved,NQpAqaJrm7U,I Built the Viral Claude Code Trading Strategy Properly — Watch What Happens,https://www.youtube.com/watch?v=NQpAqaJrm7U,18:10,I Built the Viral Claude Code Trading Strategy Properly — Watch What Happens.md,13294,NotebookLM YouTube transcript import,
12,saved,Bo8oYgy4qyE,I Tested the Viral Claude Code Trading Strategy — It's WAY Worse Than I Thought,https://www.youtube.com/watch?v=Bo8oYgy4qyE,5:30,I Tested the Viral Claude Code Trading Strategy — It's WAY Worse Than I Thought.md,4484,NotebookLM YouTube transcript import,
