No,Section,Title,source,track,keywords,evidence,Link
1,Benchmark,TradeTrap: Are LLM-based Trading Agents Truly Reliable and Faithful?,arXiv preprint,Artificial Intelligence (cs.AI),"evaluation framework, benchmark",https://arxiv.org/abs/2512.02261,https://arxiv.org/pdf/2512.02261
2,Benchmark,CN-Buzz2Portfolio: A Chinese-Market Dataset and Benchmark for LLM-Based Macro and Sector Asset Allocation from Daily Trending   Financial News,arXiv preprint,Machine Learning (cs.LG); Artificial Intelligence (cs.AI),benchmark,https://arxiv.org/abs/2603.22305,https://arxiv.org/pdf/2603.22305v1
3,Benchmark,AI-Trader: Benchmarking Autonomous Agents in Real-Time Financial Markets,arXiv preprint,"Computational Finance (q-fin.CP); Computational Engineering, Finance, and Science (cs.CE)",benchmark,https://arxiv.org/abs/2512.10971,https://arxiv.org/pdf/2512.10971
4,Benchmark,AlphaBench: Benchmarking Large Language Models in Formulaic Alpha Factor Mining,ICLR 2026,Poster; Primary Area: datasets and benchmarks,Alpha Mining; LLM Benchmark; LLM Agent; Data Science and Engineering,https://openreview.net/forum?id=d97Q8r7ZKZ,https://openreview.net/pdf?id=d97Q8r7ZKZ
5,Benchmark,CSMD: Curated Multimodal Dataset for Chinese Stock Analysis,arXiv preprint,"Computational Engineering, Finance, and Science (cs.CE)","dataset, benchmark",https://arxiv.org/abs/2511.01318,https://arxiv.org/pdf/2511.01318
6,Benchmark,Constructing a Portfolio Optimization Benchmark Framework for Evaluating Large Language Models,arXiv preprint,Portfolio Management (q-fin.PM),benchmark,https://arxiv.org/abs/2603.09301,https://arxiv.org/pdf/2603.09301v1
7,Benchmark,When Agents Trade: Live Multi-Market Trading Benchmark for LLM Agents,arXiv preprint,Computation and Language (cs.CL),"benchmark, agent trading",https://arxiv.org/abs/2510.11695,https://arxiv.org/pdf/2510.11695
8,Benchmark,Re(Visiting) Time Series Foundation Models in Finance,arXiv preprint,Computational Finance (q-fin.CP); Artificial Intelligence (cs.AI); Machine Learning (cs.LG); Portfolio Management (q-fin.PM); Pricing of Securities (q-fin.PR),benchmark,https://arxiv.org/abs/2511.18578,https://arxiv.org/pdf/2511.18578v1
9,Benchmark,A Test of Lookahead Bias in LLM Forecasts,arXiv preprint,General Finance (q-fin.GN); Machine Learning (cs.LG); Trading and Market Microstructure (q-fin.TR),"benchmark, LLM forecasting",https://arxiv.org/abs/2512.23847,https://arxiv.org/pdf/2512.23847v1
10,Deep RL,Replayable Financial Agents: A Determinism-Faithfulness Assurance Harness for Tool-Using LLM Agents,arXiv preprint,Artificial Intelligence (cs.AI); Computation and Language (cs.CL),"benchmark, regulatory audit reply",https://arxiv.org/abs/2601.15322,https://arxiv.org/pdf/2601.15322v1
11,Deep RL,Reinforcement Learning for Optimized Trade Execution,ICML 2006,Conference paper,reinforcement learning; optimized trade execution; limit order book; market microstructure,https://www.cis.upenn.edu/~mkearns/papers/rlexec.pdf,https://www.cis.upenn.edu/~mkearns/papers/rlexec.pdf
12,Deep RL,DeepAries: Adaptive Rebalancing Interval Selection for Enhanced Portfolio Selection,CIKM 2025,Proceedings article,deep RL,https://doi.org/10.1145/3746252.3761572,https://dl.acm.org/doi/10.1145/3746252.3761572
13,Deep RL,MetaTrader: Learning to Generalize RL Trading Policies Beyond Offline Data,AAAI-26,AAAI Technical Track on Machine Learning X,reinforcement learning; offline RL; portfolio optimization; generalization,https://ojs.aaai.org/index.php/AAAI/article/view/40027,https://ojs.aaai.org/index.php/AAAI/article/view/40027
14,Deep RL,Adaptive Bidirectional State Space Model for High-frequency Portfolio Management,CIKM 2025,Proceedings article,deep RL,https://doi.org/10.1145/3746252.3761246,https://dl.acm.org/doi/10.1145/3746252.3761246
15,Deep RL,ArchetypeTrader: Reinforcement Learning for Selecting and Refining Learnable Strategic Archetypes in Quantitative Trading,AAAI-26,AAAI Technical Track on Machine Learning XI,reinforcement learning; strategic archetypes; quantitative trading; cryptocurrency trading,https://ojs.aaai.org/index.php/AAAI/article/view/40166,https://ojs.aaai.org/index.php/AAAI/article/view/40166
16,Deep RL,Q-A3C2: Quantum Reinforcement Learning with Time-Series Dynamic Clustering for Adaptive ETF Stock Selection,arXiv preprint,"Computational Engineering, Finance, and Science (cs.CE)","Quantum Reinforcement Learning, ETF stock selection",https://arxiv.org/abs/2512.21819,https://arxiv.org/pdf/2512.21819
17,Deep RL,Janus-Q: End-to-End Event-Driven Trading via Hierarchical-Gated Reward Modeling,arXiv preprint,Computation and Language (cs.CL); Machine Learning (cs.LG),"event-driven trading, deep RL",https://arxiv.org/abs/2602.19919,https://arxiv.org/pdf/2602.19919v1
18,Deep RL,The Enhanced Physics-Informed Kolmogorov-Arnold Networks: Applications of Newton's Laws in Financial Deep Reinforcement Learning (RL) Algorithms,arXiv preprint,"Computational Engineering, Finance, and Science (cs.CE)","deep RL, PINN, Kolmogorov-Arnold Networks",https://arxiv.org/abs/2602.01388,https://arxiv.org/abs/2602.01388
19,Deep RL,Deep Reinforcement Learning for Automated Stock Trading: An Ensemble Strategy,arXiv preprint,Trading and Market Microstructure (q-fin.TR); Computational Finance (q-fin.CP); Portfolio Management (q-fin.PM); Machine Learning (stat.ML),"deep RL, ensemble strategy",https://arxiv.org/abs/2511.12120,https://arxiv.org/pdf/2511.12120v1
20,Deep RL,Reinforcement Learning for Portfolio Optimization with a Financial Goal and Defined Time Horizons,arXiv preprint,Portfolio Management (q-fin.PM); Artificial Intelligence (cs.AI); Machine Learning (cs.LG),"deep RL, portfolio optimization",https://arxiv.org/abs/2511.18076,https://arxiv.org/pdf/2511.18076v1
21,Deep RL,Hybrid LSTM and PPO Networks for Dynamic Portfolio Optimization,arXiv preprint,"Machine Learning (cs.LG); Artificial Intelligence (cs.AI); Computational Engineering, Finance, and Science (cs.CE); Portfolio Management (q-fin.PM)","deep RL, LSTM",https://arxiv.org/abs/2511.17963,https://arxiv.org/pdf/2511.17963v1
22,Deep RL,"Reinforcement Learning in Financial Decision Making: A Systematic Review of Performance, Challenges, and Implementation Strategies",arXiv preprint,Computational Finance (q-fin.CP),"deep RL, systematic review",https://arxiv.org/abs/2512.10913,https://arxiv.org/pdf/2512.10913v1
23,Deep RL,Deep Hedging with Reinforcement Learning: A Practical Framework for Option Risk Management,arXiv preprint,Portfolio Management (q-fin.PM); Risk Management (q-fin.RM),"deep RL, options hedging",https://arxiv.org/abs/2512.12420,https://arxiv.org/pdf/2512.12420v1
24,Deep RL,Logic-Q: Improving Deep Reinforcement Learning-based Quantitative Trading via Program Sketch-based Tuning,AAAI-25,AAAI Technical Track on Machine Learning III,deep reinforcement learning; program sketching; quantitative trading; neural-symbolic tuning,https://ojs.aaai.org/index.php/AAAI/article/view/34045,https://ojs.aaai.org/index.php/AAAI/article/view/34045
25,AI agent,An Interactive Simulation Framework by Ensemble Imitation Learning Agents for Training Robust Trading Policies,AAAI-26 / IAAI-26,IAAI Technical Track on Emerging Applications of AI,imitation learning; reinforcement learning; market simulation; robust trading policies,https://ojs.aaai.org/index.php/AAAI/article/view/41493,https://ojs.aaai.org/index.php/AAAI/article/view/41493
26,AI agent,FactorMiner: A Self-Evolving Agent with Skills and Experience Memory for Financial Alpha Discovery,arXiv preprint,Trading and Market Microstructure (q-fin.TR); Multiagent Systems (cs.MA),LLM agent,https://arxiv.org/abs/2602.14670,https://arxiv.org/pdf/2602.14670v1
27,AI agent,ASDA: Automated Skill Distillation and Adaptation for Financial Reasoning,arXiv preprint,"Computation and Language (cs.CL); Artificial Intelligence (cs.AI); Computational Engineering, Finance, and Science (cs.CE)","LLM adaptation, agent skills, skill distillation",https://arxiv.org/abs/2603.16112,https://arxiv.org/pdf/2603.16112
28,AI agent,Trade in Minutes! Rationality-Driven Agentic System for Quantitative Financial Trading,arXiv preprint,Multiagent Systems (cs.MA); Artificial Intelligence (cs.AI),LLM trading bot,https://arxiv.org/abs/2510.04787,https://arxiv.org/pdf/2510.04787
29,AI agent,Designing Agentic AI-Based Screening for Portfolio Investment,arXiv preprint,Portfolio Management (q-fin.PM); Artificial Intelligence (cs.AI); Multiagent Systems (cs.MA); Statistical Finance (q-fin.ST),"portfolio construction, AI agent",https://arxiv.org/abs/2603.23300,http://arxiv.org/pdf/2603.23300v1
30,AI agent,Beyond Prompting: An Autonomous Framework for Systematic Factor Investing via Agentic AI,arXiv preprint,Portfolio Management (q-fin.PM); General Finance (q-fin.GN); Pricing of Securities (q-fin.PR),"AI agent, systematic factor investing",https://arxiv.org/abs/2603.14288,https://arxiv.org/pdf/2603.14288v1
31,AI agent,"AI Agents in Financial Markets: Architecture, Applications, and Systemic Implications",arXiv preprint,General Finance (q-fin.GN),"AI agent, review, perspective",https://arxiv.org/abs/2603.13942,https://arxiv.org/pdf/2603.13942v1
32,AI agent,Toward Expert Investment Teams:A Multi-Agent LLM System with Fine-Grained Trading Tasks,arXiv preprint,Artificial Intelligence (cs.AI); Trading and Market Microstructure (q-fin.TR),"AI agent, multi agent",https://arxiv.org/abs/2602.23330,https://arxiv.org/pdf/2602.23330v1
33,AI agent,TimeSeriesScientist: A General-Purpose AI Agent for Time Series Analysis,arXiv preprint,Machine Learning (cs.LG),"LLM-driven agentic framework, timeseries forecasting",https://arxiv.org/abs/2510.01538,https://arxiv.org/pdf/2510.01538
34,AI agent,Market-Dependent Communication in Multi-Agent Alpha Generation,arXiv preprint,"Multiagent Systems (cs.MA); Computational Engineering, Finance, and Science (cs.CE); Computational Finance (q-fin.CP); Trading and Market Microstructure (q-fin.TR)","AI agent, multi agent",https://arxiv.org/abs/2511.13614,https://arxiv.org/pdf/2511.13614
35,AI agent,Orchestration Framework for Financial Agents: From Algorithmic Trading to Agentic Trading,arXiv preprint,"Multiagent Systems (cs.MA); Artificial Intelligence (cs.AI); Computational Engineering, Finance, and Science (cs.CE); Machine Learning (cs.LG)","AI agent, algorithmic trading",https://arxiv.org/abs/2512.02227,https://arxiv.org/pdf/2512.02227v1
36,AI agent,A Hybrid Architecture for Options Wheel Strategy Decisions: LLM-Generated Bayesian Networks for Transparent Trading,arXiv preprint,Computational Finance (q-fin.CP),"LLM, Bayesian Networks, options trading",https://arxiv.org/abs/2512.01123,https://arxiv.org/pdf/2512.01123v1
37,AI agent,Knowledge-Augmented Large Language Model Agents for Explainable Financial Decision-Making,arXiv preprint,Computation and Language (cs.CL),"AI agent, explainable AI",https://arxiv.org/abs/2512.09440,http://arxiv.org/pdf/2512.09440v1
